league,team_id,team_slug,team_name,team_display,team_color
mens,3160,robert-morris-springfield-il-eagles,Robert Morris-Springfield (IL),RM Spring,gray60
mens,3171,hiwassee-tigers,Hiwassee,Hiwassee,gray60
mens,3184,pacifica-college-gladiators,Pacifica College,Pacifica,gray60
mens,322,lafayette-leopards,Lafayette,Lafayette,#84182b
mens,324,coastal-carolina-chanticleers,Coastal Carolina,CCU,#307077
mens,325,cleveland-state-vikings,Cleveland State,Cleveland,#a6a8ab
mens,326,texas-state-bobcats,Texas State,Texas State,#502021
mens,328,utah-state-aggies,Utah State,Utah State,#0b2538
mens,331,eastern-washington-eagles,Eastern Washington,EWU,#b42b36
mens,333,alabama-crimson-tide,Alabama,Alabama,#962e38
mens,338,kennesaw-state-owls,Kennesaw State,Kennesaw,#f3bd50
mens,339,evansville-purple-aces,Evansville,Evansville,#351860
mens,344,mississippi-state-bulldogs,Mississippi State,MS State,#551c26
mens,349,army-black-knights,Army,Army,#17191d
mens,350,unc-wilmington-seahawks,UNC Wilmington,Wilmington,#2a645e
mens,356,illinois-fighting-illini,Illinois,Illinois,#d75641
mens,357,texas-am-corpus-christi-islanders,Texas A&M-Corpus Christi,TAMU CC,#3478bc
mens,36,colorado-state-rams,Colorado State,CSU,#2b4c2e
mens,38,colorado-buffaloes,Colorado,Colorado,#cbb984
mens,399,ualbany-great-danes,UAlbany,UAlbany,#401867
mens,41,uconn-huskies,UConn,UConn,#0a2242
mens,42,hartford-hawks,Hartford,Hartford,gray60
mens,43,yale-bulldogs,Yale,Yale,#11223e
mens,44,american-university-eagles,American University,AU,#1f3c88
mens,45,george-washington-revolutionaries,George Washington,GW,#1d3060
mens,46,georgetown-hoyas,Georgetown,Georgetown,#192849
mens,466,savannah-college-of-art-and-design-bees,Savannah College Of Art And Design,Savannah,gray60
mens,47,howard-bison,Howard,Howard,#153960
mens,48,delaware-blue-hens,Delaware,Delaware,#1c4892
mens,487,bacone,Bacone,Bacone,gray60
mens,5,uab-blazers,UAB,UAB,#2a6044
mens,50,florida-am-rattlers,Florida A&M,FL A&M,#3b8557
mens,509,crown-college-polars,Crown College,Crown,gray60
mens,52,florida-state-seminoles,Florida State,FSU,#72343e
mens,526,florida-gulf-coast-eagles,Florida Gulf Coast,FGCU,#469771
mens,55,jacksonville-state-gamecocks,Jacksonville State,Jax State,#b93330
mens,56,stetson-hatters,Stetson,Stetson,#275541
mens,57,florida-gators,Florida,Florida,#ea5a32
mens,58,south-florida-bulls,South Florida,USF,#255743
mens,59,georgia-tech-yellow-jackets,Georgia Tech,GA Tech,#b1a370
mens,6,south-alabama-jaguars,South Alabama,S Alabama,#b4364a
mens,61,georgia-bulldogs,Georgia,Georgia,#ad3136
mens,614,southern-polytechnic-hornets,Southern Polytechnic,S Poly,gray60
mens,62,hawaii-rainbow-warriors,Hawai'i,Hawai'i,#24573a
mens,66,iowa-state-cyclones,Iowa State,Iowa State,#a9283b
mens,68,boise-state-broncos,Boise State,Boise State,#12329a
mens,70,idaho-vandals,Idaho,Idaho,#e9b744
mens,71,bradley-braves,Bradley,Bradley,#961d13
mens,77,northwestern-wildcats,Northwestern,Northwestern,#522e7e
mens,79,southern-illinois-salukis,Southern Illinois,SIU,#662b3d
mens,8,arkansas-razorbacks,Arkansas,Arkansas,#972c38
mens,82,uic-flames,UIC,UIC,#c92a38
mens,84,indiana-hoosiers,Indiana,Indiana,#8c1a11
mens,85,iu-indianapolis-jaguars,IU Indianapolis,IU Indy,#ca8437
mens,87,notre-dame-fighting-irish,Notre Dame,ND,#04143e
mens,88,southern-indiana-screaming-eagles,Southern Indiana,S Indiana,#0e2b58
mens,9,arizona-state-sun-devils,Arizona State,AZ State,#821d3b
mens,91,bellarmine-knights,Bellarmine,Bellarmine,#873242
mens,93,murray-state-racers,Murray State,Murray,#f6c845
mens,94,northern-kentucky-norse,Northern Kentucky,N Kentucky,#f6ca52
mens,96,kentucky-wildcats,Kentucky,Kentucky,#12329a
mens,97,louisville-cardinals,Louisville,Louisville,#b82629
mens,98,western-kentucky-hilltoppers,Western Kentucky,WKU,#d04746
mens,99,lsu-tigers,LSU,LSU,#412377
womens,100277,pensacola-christian-eagles,Pensacola Christian,Pensacola,gray60
womens,103,boston-college-eagles,Boston College,BC,#7f2c34
womens,104,boston-university-terriers,Boston University,BU,#bb3430
womens,105890,barber-scotia-sabers,Barber-Scotia,BSC,gray60
womens,107,holy-cross-crusaders,Holy Cross,Holy Cross,#5f318c
womens,107722,northwood-university-knights,Northwood University,Northwood,gray60
womens,108,harvard-crimson,Harvard,Harvard,#962c3a
womens,108784,southwestern-christian-sw-christian,Southwestern Christian,SW Christian,gray60
womens,108785,indiana-kokomo-cougars,Indiana-Kokomo,Kokomo,gray60
womens,108788,university-of-saint-mary,University Of Saint Mary,St Mary,gray60
womens,108814,university-of-saint-katherine-saint-katherine,University of Saint Katherine,St Kath,gray60
womens,108824,crowleys-ridge-pioneers,Crowley's Ridge,Crowley's,gray60
womens,108825,southwestern-christian-tx-sw-christian,Southwestern Christian (TX),SWC TX,gray60
womens,108826,williams-baptist-eagles,Williams Baptist,Williams,gray60
womens,108832,kent-state-tuscarawas-golden-eagles,Kent State-Tuscarawas,Tuscarawas,gray60
womens,108833,cincinnati-christian-eagles,Cincinnati Christian,CCU,gray60
womens,108846,multnomah-university-lions,Multnomah University,Multnomah,gray60
womens,108846,multnomah-university-multnomah,Multnomah University,Multnomah,gray60
womens,108847,st-thomas-aquinas-spartans,St. Thomas Aquinas,St Thomas,gray60
womens,108879,daniel-webster,Daniel Webster,DW,gray60
womens,108883,clearwater-cougars,Clearwater,Clearwater,gray60
womens,108884,toccoa-falls-eagles,Toccoa Falls,Toccoa Falls,gray60
womens,108885,st-josephs-ny-bears,St. Joseph's (NY),St Joe (NY),gray60
womens,108887,bristol,Bristol,Bristol,gray60
womens,108890,washington-adventist-shock,Washington Adventist,Adventist,gray60
womens,109206,baker-university-baker,Baker University,Baker,gray60
womens,109502,keiser-university-seahawks,Keiser University,Keiser,gray60
womens,109514,cedar-crest-college-cedar-crest,Cedar Crest College,Cedar Crest,gray60
womens,109515,alliance-university-warriors,Alliance University,Alliance,gray60
womens,109600,albertus-magnus-albertus,Albertus Magnus,AM,gray60
womens,109616,waldorf-college-warriors,Waldorf College,Waldorf,gray60
womens,109644,ashford-university-ashford,Ashford University,Ashford,gray60
